Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2005-1,A Beard and a Pasty Forehead: Collective Memory of the First Kennedy-Nixon Debate,2,1,Sara Mehltretter,Boston College
2005-1,A Beard and a Pasty Forehead: Collective Memory of the First Kennedy-Nixon Debate,2,2,Dale Herbeck,Boston College
2005-51,Actual Self and Ideal Brand Image: An Application of Self-congruity to Brand Image Positioning,2,1,Mark A. Hamilton,U of Connecticut
2005-51,Actual Self and Ideal Brand Image: An Application of Self-congruity to Brand Image Positioning,2,2,Xiaolan Helen Sun,U of Connecticut
2005-101,Analyzing Talk of Intimates: The Real and Reel-Life Couples Communication Styles,1,1,Mildred A. Rojo-Laurilla,De La Salle U
2005-151,"""Are you talking to me?"": The effect of direct address on viewer attention and arousal",2,1,R. Glenn Cummins,U of Alabama
2005-151,"""Are you talking to me?"": The effect of direct address on viewer attention and arousal",2,2,Mary Beth Bradford,U of Alabama
2005-201,Beyond Intrinsic and Extrinsic Motivations: Internalized Extrinsic Motivation in the Promotion of Learning Among Primary School Students,1,1,Lu Tang,U of Southern California
2005-251,Characteristics and Motives of Adolescents Talking with Strangers on the Internet and its Consequences,3,1,Jochen Peter,U of Amsterdam
2005-251,Characteristics and Motives of Adolescents Talking with Strangers on the Internet and its Consequences,3,2,Patti M. Valkenburg,University of Amsterdam
2005-251,Characteristics and Motives of Adolescents Talking with Strangers on the Internet and its Consequences,3,3,Alexander Peter Schouten,University of Amsterdam
2005-301,Communication Patterns and Civic Life on the Internet in Korea,1,1,Young Baek,Seoul National University
2005-351,Cosmetic Surgery in Action: Communication Challenges for Plastic Surgeons,1,1,Julien Christian Mirivel,U of Colorado - Boulder
2005-401,Deliberative Learning: Processes and Effects of Civic Education,2,1,Michael McDevitt,U of Colorado
2005-401,Deliberative Learning: Processes and Effects of Civic Education,2,2,Spiro K. Kiousis,U of Florida
2005-451,Discord and Religious Identity: News Framing of Muslims in the Kashmir Conflict,1,1,Sandhya Bhattacharya,Pennsylvania State University
2005-501,"Effects of News Reports About Genetics and Obesity on Perceived Disease Controllability, Responsibility, and Helping Behavior",1,1,Se Hoon Jeong,U Penn
2005-551,"Examining the Roles of Self-Esteem and Identity Concerns in Decisions About, and Consequences of, Revealing Secrets",2,1,Walid Afifi,Pennsylvania State U
2005-551,"Examining the Roles of Self-Esteem and Identity Concerns in Decisions About, and Consequences of, Revealing Secrets",2,2,John P. Caughlin,U of Illinois
2005-601,Flexing Their Political Muscle: Newspaper Coverage of Jesse Ventura's and Arnold Schwarzenegger's Gubernatorial Campaigns,1,1,Cary Roberts Frith,Ohio University
2005-651,"Gentlemen, Start Your Ideologies: NASCAR Telecasts and New Right Ideology",1,1,Richard Popp,Temple University
2005-701,How an Issue in Cyberspace Shifts to the Real World: Three-Stage Cyber-Issue Diffusion (CID) Model,1,1,Hochang Shin,Sogang U
2005-751,Impacts of Website Context Relevance on Banner Advertisement Effectiveness,2,1,Yongick Jeong,The University of North Carolina at Chapel Hill
2005-751,Impacts of Website Context Relevance on Banner Advertisement Effectiveness,2,2,Cynthia M. King,"California State University, Fullerton"
2005-801,Internet Press Freedom and Online Crisis Reporting: The Role of News Sites in SARS Epidemic,1,1,Alice Yuet Lin Lee,Hong Kong Baptist U
2005-851,"Journalism as a Vocation: Liang Qichao and the Contested Ideas of Journalism, 1890s-1900s",1,1,Yong Zhang Volz,University of Minnesota
2005-901,"Loneliness, Perceived Reality and Parasocial Interaction",2,1,Mu Hu,"School of Communication, the Ohio State University"
2005-901,"Loneliness, Perceived Reality and Parasocial Interaction",2,2,Daniel G. McDonald,Ohio State U
2005-951,Media Coverage of Ghanaian Women in Pre- and Post-Kufuor Election Period,1,1,DOREEN KUTUFAM,Syracuse University
2005-1001,Militarized Femininity and the Nation: Mediating the Jessica Lynch Story,1,1,Daniela Baroffio-Bota,USC - Annenberg School of Communication
2005-1051,News Cues: Do Indicators of Newsworthiness by Newsbots Affect our Perception of News Stories?,3,1,S. Shyam Sundar,Pennsylvania State U
2005-1051,News Cues: Do Indicators of Newsworthiness by Newsbots Affect our Perception of News Stories?,3,2,Silvia Knobloch,U of California - Davis
2005-1051,News Cues: Do Indicators of Newsworthiness by Newsbots Affect our Perception of News Stories?,3,3,Matthias Reiner Hastall,U of California - Davis
2005-1101,Organizational Media Selection and Use: A Comparison and Synthesis of Communicational Approaches,1,1,Fangfang Diao,Rutgers U
