Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2003-1,Access to the Media Versus Access to Audiences: The Distinction and its Implications for Media Regulation and Policy,1,1,Philip Napoli,Fordham U
2003-51,An Experimental Evaluation of Readers' Perceptions of Media Bias,1,1,Dave D'Alessio,University of Connecticut-Stamford
2003-101,Buddhist Public Relations Model for Thai Community Development: Theoretical and Practical Implications,1,1,Peeraya Hanpongpandh,Bangkok University
2003-151,"Comparative Analysis of Street-based, Brothel-based, and Discreet Commercial Sex Workers on Factors Predicting Condom Use",3,1,Sanjanthi Velu,Bowling Green State University
2003-151,"Comparative Analysis of Street-based, Brothel-based, and Discreet Commercial Sex Workers on Factors Predicting Condom Use",3,2,Srinivas R. Melkote,Bowling Green State University
2003-151,"Comparative Analysis of Street-based, Brothel-based, and Discreet Commercial Sex Workers on Factors Predicting Condom Use",3,3,Ewart C. Skinner,
2003-201,Cyberactivism: Constructing social movement identities through e-mail,1,1,Melissa A. Wall,California State U - Northridge
2003-251,Effects of Global Television News On US Policymaking,1,1,Eytan Gilboa,Bar-Ilan University
2003-301,Flock Theory: A New Model of Emergent Self-Organization in Human Interaction,1,1,Devan Rosen,
2003-351,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,7,1,Narayan Devanathan,University of Wisconsin-Madison
2003-351,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,7,2,Michael P Boyle,University of Wisconsin-Madison
2003-351,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,7,3,Mark D Shevy,University of Wisconsin-Madison
2003-351,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,7,4,Michael R McCluskey,University of Wisconsin-Madison
2003-351,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,7,5,Susan E. Stein,UW-Madison
2003-351,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,7,6,Elliott D Hillback,University of Wisconsin-Madison
2003-351,Historical Drifts Without Paradigm Shifts: A Historical Analysis of Newspaper Coverage of Social Protest,7,7,Douglas M McLeod,University of Wisconsin-Madison
2003-401,"Instant Identity: Girls, Adolescence and Negotiation of Identity in the New Culture of Instant Messaging",1,1,Shayla m Thiel,University of Iowa
2003-451,Letters to America: Dialectical epistolarity in post-9/11 advertising,2,1,Gary W Larson,"University of Nevada, Las Vegas"
2003-451,Letters to America: Dialectical epistolarity in post-9/11 advertising,2,2,Lawrence J. Mullen,U of Nevada
2003-501,More Multicultural Than Thou: The News Paradigm and the Sjöbo Affair in the Swedish Press,1,1,Patricia Jane Berg,U of Wisconsin - River Falls
2003-551,Organizational Culture Approaching the Edge: A Case Study of Organizational Change,3,1,Philip Salem,Southwest Texas State U
2003-551,Organizational Culture Approaching the Edge: A Case Study of Organizational Change,3,2,Fay J. Barclay,Southwest Texas State U.
2003-551,Organizational Culture Approaching the Edge: A Case Study of Organizational Change,3,3,Mary Hoffman,Southwest Texas State U.
2003-601,Priming in the Inoculation Process: An Alternative Route of Resistance to Persuasion,2,1,Suya Yin,U of Wisconsin - Madison
2003-601,Priming in the Inoculation Process: An Alternative Route of Resistance to Persuasion,2,2,Michael Pfau,U of Oklahoma
2003-651,"Religion, Communication, and Social Capital",3,1,Matthew C. Nisbet,Cornell University
2003-651,"Religion, Communication, and Social Capital",3,2,Patricia Moy,U Of Washington
2003-651,"Religion, Communication, and Social Capital",3,3,Dietram A. Scheufele,Cornell U
2003-701,Speech That Moves: The Rhetoric and Poetics of Metaphor,1,1,Kate G. Willink,"University of North Carolina, Chapel Hill"
2003-751,The Affective Terrain of Adolescence: The Matrix,1,1,Jennifer Daryl Slack,Sievi Rd
2003-801,The Emergence of Structural Patterns in Interorganizational Relationships in the Application Service Provider Industry (I),1,1,Hyo D. Kim,Rutgers U
2003-851,Theorizing Vision at the Crossroads: the case of photography and digital imaging,1,1,Katherine E. Brown,"California State U, San Marcos"
2003-901,THE WHOLE WORLD IS SWEATING: Newspaper Framing of the Student Anti-Sweatshop Movement,1,1,Andy Opel,Florida State University
2003-951,Visual Representation and the Prediction of Emotion,1,1,Susan A. Sherr,"Eagleton Institute of Politics, Rutgers University"
