Paper ID,Paper Title,Number of Authors,Author Position,Author Name,Author Affiliation
2013-0001,2D vs. 3D: The Effects of Additional Dimension in Visual Field on Information Processing,4,1,Byungho Park,KAIST
2013-0001,2D vs. 3D: The Effects of Additional Dimension in Visual Field on Information Processing,4,2,Eunkyoung Lee,KAIST
2013-0001,2D vs. 3D: The Effects of Additional Dimension in Visual Field on Information Processing,4,3,Dal Woo Nam,KAIST
2013-0001,2D vs. 3D: The Effects of Additional Dimension in Visual Field on Information Processing,4,4,Kyunghee Lee,KAIST
2013-0051,"Aggressive, Combative, and Aggression-Free: Assessing the Validity of the Relational Control- Motivated Aggression Perspective and Violent Couple Typology",3,1,Loreen N. Olson,U of North Carolina - Greensboro
2013-0051,"Aggressive, Combative, and Aggression-Free: Assessing the Validity of the Relational Control- Motivated Aggression Perspective and Violent Couple Typology",3,2,Jennifer Stevens Aubrey,U of Missouri
2013-0051,"Aggressive, Combative, and Aggression-Free: Assessing the Validity of the Relational Control- Motivated Aggression Perspective and Violent Couple Typology",3,3,Mark Fine,U of North Carolina - Greensboro
2013-0101,An Exploration of Concealment and Discovery in Romantic Infidelity,2,1,Megan M. Dowd,Hamilton College
2013-0101,An Exploration of Concealment and Discovery in Romantic Infidelity,2,2,Claudia L. Hale,Ohio U
2013-0151,"A Study of 3D HDTV Adoption: An Analysis of Predictors, Perceptions, and Behavioral Intention",1,1,Xu Song,Colorado State U
2013-0201,Beware of the Spirits That You Call! Explorations Into the (Dis)ordering Properties of Communication,3,1,Consuelo Vasquez,U du Québec à Montréal
2013-0201,Beware of the Spirits That You Call! Explorations Into the (Dis)ordering Properties of Communication,3,2,Dennis Schoeneborn,U of Zürich
2013-0201,Beware of the Spirits That You Call! Explorations Into the (Dis)ordering Properties of Communication,3,3,Viviane Sergi,HEC Montréal
2013-0251,Call Your Legislator: A Field Experimental Study of the Impact of Citizen Contacts on Legislative Voting,2,1,Daniel E. Bergan,Michigan State U
2013-0251,Call Your Legislator: A Field Experimental Study of the Impact of Citizen Contacts on Legislative Voting,2,2,Richard T Cole,Michigan State U
2013-0301,Cinema With a Capitole C: A Cultural Economics Analysis of the 1953-1971 Capitole Ledgers,3,1,Khael Velders,Ghent U
2013-0301,Cinema With a Capitole C: A Cultural Economics Analysis of the 1953-1971 Capitole Ledgers,3,2,Daniel Biltereyst,Ghent U
2013-0301,Cinema With a Capitole C: A Cultural Economics Analysis of the 1953-1971 Capitole Ledgers,3,3,Liesbeth Van de Vijver,Ghent U
2013-0351,Communicative Leadership: Leaders and Members Reflecting on Leadership and Communication,3,1,Solange Barros de Alcantara Hamrin,Mid Sweden U
2013-0351,Communicative Leadership: Leaders and Members Reflecting on Leadership and Communication,3,2,Catrin E. Johansson,Mid Sweden U
2013-0351,Communicative Leadership: Leaders and Members Reflecting on Leadership and Communication,3,3,Jody Jahn,U of California - Santa Barbara
2013-0401,Could Wild Horses Drag Access Away From Courtrooms? Expanding First Amendment Rights to New Pastures,2,1,Matthew D. Bunker,U of Alabama
2013-0401,Could Wild Horses Drag Access Away From Courtrooms? Expanding First Amendment Rights to New Pastures,2,2,Clay Calvert,U of Florida
2013-0451,Debating Darija: Telquel and Language Politics in Modern Morocco,1,1,Annemarie Iddins,U of Michigan
2013-0501,Diverse Perspectives on Presence and Telepresence: An Introduction,1,1,Matthew Lombard,Temple U
2013-0551,Eggnog and Community: A Case Study of Local Digital Commentary and the Emerging Role of Television,1,1,Edgar C. Simpson,Central Michigan U
2013-0601,Examining Korea’s 2012 Presidential Election Campaigns Using (Negative) Entropy Indicator,1,1,Han Woo Park,Yeungnam U
2013-0651,"Features, Blogs and User-Generated Content Might Not Save Journalism: Evidence From a Comparative Study of the Supply and Demand of Online News",2,1,Pablo J. Boczkowski,Northwestern U
2013-0651,"Features, Blogs and User-Generated Content Might Not Save Journalism: Evidence From a Comparative Study of the Supply and Demand of Online News",2,2,Eugenia mitchelstein,Northwestern U
2013-0701,From Monophonic to Jazzy Integrated Communications,1,1,Simon Torp,U of Southern Denmark
2013-0751,Governing the homo economicus; Consumer representations in bank advertisements,1,1,Liina Kaisa Puustinen,U of Helsinki
2013-0801,How Journalists‘ and Scientists‘ Views on Objectivity Influence Their Accounts of Reality,1,1,Senja Post,Johannes Gutenberg U
2013-0851,Imagological thinking: Sampo in branding and advertising,1,1,Linnar Priimägi,Tallinn U
2013-0901,Internet Aggregators Constructing the Political Right Wing,1,1,Muneo Kaigo,U of Tsukuba
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,1,Tae Joon Moon,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,2,Jonathan D'Angelo,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,3,Stephanie Tsang,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,4,Yangsun Hong,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,5,Mina Choi,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,6,Shawnika Jeanine Hull,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,7,Dhavan Shah,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,8,Fiona M. McTavish,U of Wisconsin
2013-0951,“I Want to Go Out With You” vs. “I Want to Talk to You”: Corpus Analysis of Gender Differences in Mobile Text Messages of Adolescents,9,9,David H Gustafson,U of Wisconsin
2013-1001,Letting Go of Superwoman: Embodying the Mother-Child Dyad,1,1,Beth Lee Sundstrom,College of Charleston
