Paper ID,Title,Session,Session Division,Individual Division,Session SubDivision,Sumission Type,Title to Check,Session to Check,Abstract
2005-0001,A Beard and a Pasty Forehead: Collective Memory of the First Kennedy-Nixon Debate,Campaign Communications: A Look at the Old and the New,Political Communication,,,Paper,A Beard and a Pasty Forehead: Collective Memory of the First Kennedy-Nixon Debate,Campaign Communications: A Look at the Old and the New,"The Great Debates between Senator John Kennedy and Vice President Richard Nixon were unprecedented. The prevailing history of the decisive first debate on September 26, 1960, holds that Kennedy prevailed, in large part due to Nixons dismal appearance on the television screen. To demonstrate that the visual elements were decisive, commentators often refer to sample surveys or polls conducted after the debate. According to these accounts, television viewers who had seen the debate thought Kennedy the winner, whereas radio listeners who listened to the debate thought Nixon had prevailed. While the actual empirical evidence supporting this claim is thin, the viewer-listener story has been told so many times that is has become an accepted part of American political lore. This paper, an analysis of 567 articles appearing in the New York Times since September 1960, charts the collective memory of this seminal political event. Through a content analysis of these stories, the paper argues that the dominant account of the decisive first debate has gradually evolved from a narrative that highlighted the qualities of presidential leadership into a narrative stressing the importance of personal appearance. In the process, the 1960 presidential debates have been recast to service the broader claim that image inevitably triumphs over substance in political campaigns."
2005-0002,"Academic Stress, Supportive Communication, and Health",Dealing with Stress and Crises,Instructional & Development Communication,,,Paper,"Academic Stress, Supportive Communication, and Health",Dealing with Stress and Crises,"Academic stress is associated with a variety of negative health outcomes, including depression, anxiety, and physical illness. The current study examined the capacity of supportive communication received from friends and family (emotional and informational) to buffer the influence of academic stress on health. College students (N = 739; 210 males, 516 females, 16 gender not reported) completed measures of academic stress, received supportive communication, and health (depression, anxiety, and physical illness). Results indicated that the association between academic stress and depression decreased as instrumental support increased. In addition, emotional support was negatively associated with depression across levels of academic stress. The findings are discussed with respect to alleviating negative health outcomes for individuals experiencing academic stress."
2005-0003,Acculturation in the Age of New Media,Emerging Trends in Sojourner Studies,Intercultural & Development Communication,,Intercultural Communication,Paper,Acculturation in the Age of New Media,Emerging Trends in Sojourner Studies,"Compared to the availability of the prevailing mass media environment of a host society, the availability of ethnic media is limited in most communities. That may prevent ethnic media from exercising influence. However, Internet, as a popular medium, has made all of the U.S. look like Silicon Valley. Internet can provide access to both host media and ethnic media on the same platform. If the use pattern of host internet media and ethnic internet media is similar to the traditional media use pattern in the Silicon Valley among Chinese immigrants, then it can be argued that internet acts as a hindrance to immigrants adaptation to a new culture. If the new pattern is different from the old one, then what is the new pattern and what is the influence of Internet media as a whole on cultural adaptation? This paper aims at addressing those questions."
2005-0004,A Chronicle of Tobaccos Very Active Recruitment of Gays and Lesbians,GLBT Marriage and Marketing: An Interactive Paper Session,"Gay, Lesbian, Bisexual & Transgender Studies",,,Paper,A Chronicle of Tobaccos Very Active Recruitment of Gays and Lesbians,GLBT Marriage and Marketing: An Interactive Paper Session,"The tobacco industry has long been interested in selling cigarettes to members of the gay community. This is problematic, as gays and lesbians are more likely to smoke compared to the general population. Given that smoking is responsible for hundreds of thousands of deaths per year in the U. S. alone, there is growing concern over marketing cigarettes to people who are already smoking more than most. Yet as tobacco companies continue to grapple with strict anti-smoking laws as well as the publics increasingly negative attitude toward the industry itself as well as its products, they must find new ways to protect their profits. By examining tobacco companies internal documents culled from the tobacco archives now available to the public, this paper will show that tobacco industry giants have 1) aggressively gone after gay votes in their fight against anti-tobacco legislation, 2) worked to enhance their image with the gay community by supporting gay-friendly causes and sponsoring events popular with gays and lesbians, and 3) advertised in gay media."
2005-0005,A Cognition-Emotion Integrated Model of Media Message Processing,tructural Features and Cognitive Processing,Information Systems,,,Paper,A Cognition-Emotion Integrated Model of Media Message Processing,Structural Features and Cognitive Processing,"This paper proposes that researchers studying media processes and effects should incorporate an understanding of biological systems responsible for information processing in the human brain into theories of media message processing. By considering the emotional significance of any message feature being considered, the new model highlights the hierarchical integration of emotion and cognition in the brain and calls for understanding of the basic appetitive and defensive responses engaged during early sensory processing of message features."
2005-0006,A Comparison of Five Social Psychological Models of Condom Use: Implications for Designing Prevention Messages,Theoretical and Methodological Issues in Health Message Design,Health Communication,,,Paper,A Comparison of Five Social Psychological Models of Condom Use: Implications for Designing Prevention Messages,Theoretical and Methodological Issues in Health Message Design,"This investigation explored the condom-use intentions and behaviors of U.S. college students by comparing the predictive ability of five social psychological models: the theory of reasoned action; the theory of planned behavior; the self-efficacy theory; the health belief model; and the information-motivation-behavioral skills model. Three hundred fifteen sexually active male and female undergraduate students responded to a condom-use survey based on several theoretical constructs. The predictors consist of multi-item measures, including attitudes, subjective norms, perceived behavioral control, self-efficacy, outcome expectancy, perceived susceptibility, perceived severity, perceived benefits, perceived barriers, HIV prevention information, HIV prevention motivation, and HIV prevention skills. Two criterion variables tested separately for each model are intentions to use condom and condom-use behaviors.
Multiple linear regression analyses indicated that (a) all five psychological models are significant in explaining condom use with different degrees of explained variance; (b) significant predictors of all models predicted intentions better than behaviors; and (c) the two sets of parallel variables most powerful in predicting intentions and behaviors are attitudes and perceived barriers, as well as self-efficacy and HIV prevention skills. In addition, perceived severity of illnesses is a possible predictor. These findings imply that a theory combining variables from several models may be the best. It suggests the need to scrutinize other theories that incorporate different potential variables, e.g. individual difference, environment, demographics, etc. Finally, the findings suggest that health campaigns targeting college students should develop prevention messages that center on three fundamental components: attitudes toward condoms, condom self-efficacy, and the perceptions of threat."
2005-0007,A Comparison of Pro-Anorexia and Treatment Web Sites: A Look at the Health Belief and Stages of Change Models Online,Challenges of Using Interactive Communication Technologies for Health I,Health Communication,,,Paper,A Comparison of Pro-Anorexia and Treatment Web Sites: A Look at the Health Belief and Stages of Change Models Online,Challenges of Using Interactive Communication Technologies for Health I,"The purpose of this study was to identify how health educators and eating disorder victims are using the Internet to communicate about anorexia nervosa. A systematically derived sample of 55 pro-anorexia and 71 treatment sites were content analyzed for use of theoretical constructs from the Health Belief and Stages of Change Models. Coders measured benefits of and barriers to recovery, self-efficacy for treatment and anorexia, and individual tailoring. As expected, results showed pro-anorexia sites were more likely to promote self-efficacy for anorexia. However, treatment sites also did so by containing common disease tips such as: fasting, diet drugs, purging, exercise, and hiding. Self-efficacy for treatment was available on both types of sites, but pro-ana sites discussion of health information was more comprehensive than expected: nearly one-third recommended nutrition and vitamins, 15% recommended psychotherapy, and 13% recommended group therapy. Both types of sites discussed common barriers to recovery, but few sites mentioned psychological barriers, such as identity loss, anger, emptiness, and vulnerability. This study demonstrates a model that health educators can use to assess the voices of anorexics on pro-anorexia web sites in order to improve the theoretical design and persuasive content of treatment sites."
2005-0008,"A Comparison of Public Policies and Research on Cultural Diversity in Mexican, Canadian and US Television","ternational & Development Subdivision, Intercultural & Development Division Interactive Paper Session",Intercultural & Development Communication,,International & Development Communication,Paper,"A Comparison of Public Policies and Research on Cultural Diversity in Mexican, Canadian and US Television","International & Development Subdivision, Intercultural & Development Division Interactive Paper Session","The issue of how to preserve and promote cultural diversity in Mexico, The United States and Canada has been central in policy debates and regulations within each country. How should governments proceed then to promote and maintain cultural diversity in a region closely integrated not just through economic trade but through the mass media? This paper reviews the current international debate on communication policies related to the promotion of cultural diversity through television. It starts with a discussion about what constitutes diversity in television, and follows with a review about the real impact of former media policies in the achievement of diversity. Using the concepts of source diversity, content diversity and exposure diversity, the paper analyzes the communication policies adopted or proposed in Mexico and compares them with current policies in Canada and the US. The paper concludes that current commercial strategies and goals both at the national and international level do not stimulate cultural diversity in media contents. It questions the utility of policies designed to regulate competition and ownership in the media with the objective of maximizing the number of outlets and emphasizing audience choice between these outlets. Instead, proposals which advocate a more mixed system of mass media with different mandates and different modes of financing are considered."
2005-0009,A Comparison of Three Models to Understand Purchasing Behavior of Avatar-Related Products,Avatars and Embodied Agents,Communication and Technology,,,Paper,A Comparison of Three Models to Understand Purchasing Behavior of Avatar-Related Products,Avatars and Embodied Agents,"This study focused on which theory best predicts the purchase of avatar-related products. Also, this research attempted to reveal a few factors that may contribute to the intention of undergraduate students purchasing behavior of avatar-related products. The Theory of Reasoned Action, the Theory of Planned Behavior, and the Technology Acceptance Model were compared to figure out which theory best explains the behavioral intention. This study used path model and hierarchical regressions to test if three models of behavioral intention work in explaining avatar-related product use. One hundred and eighty three undergraduate students who have used avatar-related products within the past one year were drawn from two universities in Seoul, Republic of Korea. The result showed that the TAM was superior to both the TRA and TPB for explaining variance in behavioral intention and in terms of model fit. TAM explained 26% of variance in behavioral intention and was consistent with the data. As expected, TRA explained the least variance in behavioral intention (23%) and the data did not fit the model. In the case of TPB, although this explained the most variance (28%) of the three models, the data did not fit the model."
2005-0010,"Acquiring Political Information on the Web: Issue Publics, Domain-Specificity, and Selectivity",formation Processing: How We Come to Understand the World Around Us,Political Communication,,,Paper,"Acquiring Political Information on the Web: Issue Publics, Domain-Specificity, and Selectivity",Information Processing: How We Come to Understand the World Around Us,"Using the combined data of individual survey and Web behavior records, this study explores issue publics' domain-specificity in cognitive, attitudinal, and behavioral aspects and more importantly examines the underlying process by which issue publics develop domain-specific knowledge, attitude extremity, and issue voting. Overall, the results of this study confirmed that selectivity was the underlying process by which issue publics develop domain-specificity. Driven by personal issue importance, issue publics search for information in a highly selective manner, compared to the general public. This study also showed that high levels of selectivity had an advantage in acquisition of domain-specific knowledge. Overall patterns of the results suggested that issue publics appeared to take advantage of information selection on the Web more readily than did the general public. These results suggest a potential differential knowledge gain as well as a different kind of knowledge acquisition between issue publics and the general public. Issue publics tended to use candidate issue positions as a criterion for their voting decisions more often than did the general public. Moreover, the results of this study indicated that selective information gathering affected both perceived relative proximity (i.e., differentiation of whose position is closer to ones own) and extremity in candidate evaluations (i.e., differentiated feelings toward each candidate). As whole, the findings imply that acquiring information on the Web may facilitate sharper distinctions among issue publics domain-specificity. Implications for the functioning of democracy is discussed."
