paper id,paper title,year,author number,author position,author name,author aff
2017-0000,Asynchronous Modernization of the Mexican Press: A Center-Periphery Comparison,2017,2,1,Ruben Arnoldo Gonzalez Macias,"ITESM, Campus Puebla"
2017-0000,Asynchronous Modernization of the Mexican Press: A Center-Periphery Comparison,2017,2,2,Martin Echeverria,Autonomous U of Puebla
2017-0001,Ayotzinapa’s Twitter Roll Call: Motivations and Functions of a Social Media Protest,2017,1,1,Rocio Galarza Molina,U of Missouri - Columbia
2017-0002,Constructing the Socialism of the 21st Century on the Airwaves: A Rhetorical Analysis of President Hugo Chávez’s Characterization of Venezuela’s Socioeconomic Shift on Aló Presidente,2017,1,1,Ayleen Cabas-Mijares,U of Missouri - Columbia
2017-0003,When Elites Protest: News Coverage and the Evolution of Antigovernment Demonstrations in Brazil,2017,1,1,Rachel R Mourao,Michigan State U
2017-0004,Configuring Shared and Hierarchical Leadership Through Authoring,2017,2,1,Flemming Holm,Independent Scholar
2017-0004,Configuring Shared and Hierarchical Leadership Through Authoring,2017,2,2,Gail Fairhurst,U of Cincinnati
2017-0005,"Collective Innovation Adoption across Interorganizational Systems: Organizational Boundary, Social Networks, and Decision-Making Status",2017,3,1,J. Sophia Fu,Northwestern U
2017-0005,"Collective Innovation Adoption across Interorganizational Systems: Organizational Boundary, Social Networks, and Decision-Making Status",2017,3,2,Michelle D. Shumate,Northwestern U
2017-0005,"Collective Innovation Adoption across Interorganizational Systems: Organizational Boundary, Social Networks, and Decision-Making Status",2017,3,3,Noshir S. Contractor,Northwestern U
2017-0006,Taking the Moral High Ground: Avoiding Accounts as a Practice for Being Uncompromisingly Principled,2017,2,1,Jessica Sarah Robles,Loughborough U
2017-0006,Taking the Moral High Ground: Avoiding Accounts as a Practice for Being Uncompromisingly Principled,2017,2,2,Theresa R. Castor,Univ of Wisconsin-Parkside
2017-0007,Team Safety Communication: Confronting Production Pressure in a High-Reliability Organization: A Mixed Methods Study,2017,1,1,Jody Jahn,U of Colorado Boulder
2017-0008,Are Audiences Fragmented in How They Consume News Online?,2017,3,1,Subhayan Mukerjee,U of Pennsylvania
2017-0008,Are Audiences Fragmented in How They Consume News Online?,2017,3,2,Silvia Majo-Vazquez,U of Oxford
2017-0008,Are Audiences Fragmented in How They Consume News Online?,2017,3,3,Sandra Gonzalez-Bailon,U of Pennsylvania
2017-0009,The Aggregation Effect: Does the Type of News Aggregation Personalization Influence Information-Seeking Behavior?,2017,1,1,Lauren Darm Furey,Cal Poly Pomona
2017-0010,Processing Layered News Sources on Facebook: Effects on Credibility and Learning,2017,2,1,Anne Oeldorf-Hirsch,U of Connecticut
2017-0010,Processing Layered News Sources on Facebook: Effects on Credibility and Learning,2017,2,2,Christina DeVoss,U of Connecticut
2017-0011,Contextualised Network Maps: A Qualitative Approach Exploring the Role of Social Networking Sites in News-Related Media Repertoires,2017,1,1,Lisa Merten,"Hans Bredow Institute, U of Hamburg"
2017-0012,The Effects of a Nutrition Media Literacy Intervention on Parents and Children,2017,4,1,Erica Weintraub Austin,Washington State U
2017-0012,The Effects of a Nutrition Media Literacy Intervention on Parents and Children,2017,4,2,Bruce Austin,Washington State U
2017-0012,The Effects of a Nutrition Media Literacy Intervention on Parents and Children,2017,4,3,Brian French,Washington State U
2017-0012,The Effects of a Nutrition Media Literacy Intervention on Parents and Children,2017,4,4,Marilyn Cohen,U of Washington
2017-0013,Can Theory-Based mHealth Messages Promote Antenatal Care? An Intervention Study in Bangladesh,2017,4,1,Md Monwar Hossain,"Nanyang Technological U, Singapore"
2017-0013,Can Theory-Based mHealth Messages Promote Antenatal Care? An Intervention Study in Bangladesh,2017,4,2,May O. Lwin,
2017-0013,Can Theory-Based mHealth Messages Promote Antenatal Care? An Intervention Study in Bangladesh,2017,4,3,Charles T. Salmon,Nanyang Technological U
2017-0013,Can Theory-Based mHealth Messages Promote Antenatal Care? An Intervention Study in Bangladesh,2017,4,4,Yin-Leng Theng,Nanyang Technological U
2017-0014,Unblurring the Lines of Sexual Consent With a College Student-Driven Sexual Consent Education Intervention,2017,2,1,Rebecca Ortiz,Syracuse U
2017-0014,Unblurring the Lines of Sexual Consent With a College Student-Driven Sexual Consent Education Intervention,2017,2,2,Autumn Shafer,U of Oregon
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,1,Peter A. Andersen,San Diego State U
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,2,David Buller,"Klein Buendel, Inc."
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,3,Barbara J. Walkosz,Klein Buendel
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,4,Michael D. Scott,Mikonics
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,5,Larry Beck,San Diego State U
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,6,Xia Liu,"Klein Buendel, Inc."
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,7,Allison Abbott,San Diego State U
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,8,Rachael Eye,"Klein Buendel, Inc."
2017-0015,Randomized Trial of an Advanced Sun Safety Intervention for Vacationers at 41 North American Resorts,2017,9,9,Gary Cutter,U of Alabama
2017-0016,The Culture-Centered Approach in Designing a Gender-Tailored Heart Health Intervention for Female Heart Patients,2017,7,1,Naomi Tan,The Ohio State U
2017-0016,The Culture-Centered Approach in Designing a Gender-Tailored Heart Health Intervention for Female Heart Patients,2017,7,2,Mohan Jyoti Dutta,National U of Singapore
