Paper ID,Title,Type,Title to Check,Abstract
2003-0001,Access to the Media Versus Access to Audiences: The Distinction and its Implications for Media Regulation and Policy,Paper,Access to the Media Versus Access to Audiences: The Distinction and its Implications for Media Regulation and Policy,"When the issue of speakers' rights of access arises in media regulation and policy contexts, the focus typically is on the concept of speakers' rights of access ""to the media,"" or ""to the press."" This right typically is premised on the audience's need for access to diverse sources and content. In contrast, in many non-mediated contexts, the concept of speakers' rights of access frequently is defined in terms of the speaker's own First Amendment right of access to audiences. This paper explores the distinctions between these differing interpretations of a speaker's access rights and argues that the concept of a speaker's right of access to audiences merits a more prominent position in media regulation and policy. This paper then explores the implications of such a shift in perspective for media regulation and policy-making."
2003-0002,Accounting Episodes as Communicative Practice Affecting Cultural Knowledge,Paper,Accounting Episodes as Communicative Practice Affecting Cultural Knowledge,"In this paper I describe accounting episodes as communicative practice that can affect participants' cultural knowledge in boundaries of speech communities. On the basis of in-depth interviews with Japanese-speaking informants in the United States, I analyze: (1) the episodes in which informants' cultural knowledge about appropriate conduct was affected or broadened by their engaging in accounting practices with American English speakers; and (2) the cases in which informants did not pursue the problematic events that they had faced with English speakers because, in reality, they saw difficulty in doing so. In the latter cases, informants' cultural knowledge and their perception of the boundaries tended to remain as they had been before the problematic events. The study supports the idea that boundaries of speech communities are dynamic but also suggests that they would not change so easily because participants often choose not to engage in accounting episodes."
2003-0003,Accounts of Single-fatherhood: A case study,Paper,Accounts of Single-fatherhood: A case study,"Abstract
Relying on single-fathers accounts in a case-study approach, this study examined the experience of single-fatherhood and the communication practices between single-fathers and their child. Single-fathers also answered closed-ended questions. Results offer insight into the challenges and joys that single-fathers experience. Single-fathers clearly disclosed love for their child and a valuation of their relationship with their child, and expressed exasperation and dissatisfaction with the court system and negative perceptions of single-fathers by society. More detailed information and discussion follow."
2003-0004,A Challenge to the Duel: Socializing Dedicated Virtual Reality Fans to the Ideology of Textualism,Paper,A Challenge to the Duel: Socializing Dedicated Virtual Reality Fans to the Ideology of Textualism,"This paper explores the structural controls available in entertainment centers and that mediate the relationship between producer and audience. Virtual World Entertainment -- an early producer of virtual reality games --set up an elaborate system of controls. Virtual World adopted structural controls to train its fans in its own ideology of textualism. This ideology promoted the belief in the unity of the BattleTech world, encouraged players to accept the fit between the entertainment center and the fictional representation of the BattleTech universe and to take the text at face value as an expression of competition. Structural controls already informed the reception of the text by customers in their performance, but this preparation happens to different degrees based upon a person's exposure and socialization. This example is used to explore the nexus of language and technology as a factor in technological diversity, which includes both technological variety and multimedia coordination."
2003-0005,"A chatroom ethnography: Evolution of community, norms, nonverbal communication",Paper,"A chatroom ethnography: Evolution of community, norms, nonverbal communication","In creating an ethnography about the City, Texas AOL chat room community, this paper: engages many of the assumptions made about Computer Mediated Communication; takes the ethnographic turn in studying online synchronous communication; and incorporates participant observation, auto-ethnography, and grounded theory. Findings suggest that in the City chatroom that the process of participants relating to one another is mediated by the collective knowledge of individual identities demonstrated in the chat room. This knowledge of others as individuals affects the use of nonverbal communication, conversation flow, and therefore negotiated community within a particular chatroom interaction."
2003-0006,A Communicative Approach to Road Rage: Accounts of Driving and Retaliation,Paper,A Communicative Approach to Road Rage: Accounts of Driving and Retaliation,"Road rage is a type of interpersonal conflict episode. The ways in which drivers use their vehicles to rectify other people's offensive driving implicates the symbolic nature of road rage. Participants offered detailed accounts of recent road rage experiences. These were coded to portray the precipitating actions, behavioral responses, emotional reactions, and attributions that people might have for their own and other people's driving behavior. Results indicate that people largely rely on Vehicular Communication (e.g., tailgating, honking the horn), Aggressive Communication (e.g., obscene gestures, threats), and Avoidance (e.g., ignore the other person) to manage road rage episodes. Emotional reactions included anger, fear, surprise, and relief. Not surprisingly, participants largely reported that the road rage episode was the responsibility of the other driver and reflected features of the other person that are stable, internal, global, intentional, and blameworthy."
2003-0007,A Content Analysis of Direct Marketing Emails,Paper,A Content Analysis of Direct Marketing Emails,"Based on a strategic communication model and direct marketing literature, a content analysis of 246 direct marketing emails explored email marketing techniques and characteristics. Findings show patterns of practice as well as problems that make email marketing an ¡°unwelcome guest¡± or spam in the minds of many recipients. Lack of permission marketing and personalization tactics threatens to make direct marketing email messages irrelevant and intrusive, perhaps resulting in curtailment."
2003-0008,"A content analysis of news coverage of skin cancer prevention and detection, 1979-2002",Paper,"A content analysis of news coverage of skin cancer prevention and detection, 1979-2002","This study is a content analysis of news coverage about skin cancer, focusing on aspects of primary and secondary prevention. Media coverage was measured using The Associated Press (AP), which is a valid representation of the national news environment. Using a process of successive filtration, every article primarily about skin cancer between September 1979 and September 2002 was identified and coded (N=880). Results revealed that media attention to skin cancer coverage has remained relatively constant since 1990. Reports about skin cancer research received the most media attention of the possible topics, with 35.81f stories about new research; celebrity experiences with cancer received almost as much media coverage (31.8%), followed by other topics (19.3%) and policy (13.1%). Primary and secondary prevention received much less attention than treatment and causes. Specific sun protection practices were mentioned with different frequencies. Self-detection of skin cancer was rarely discussed (5.4%). Strategies for generating increased media attention to skin cancer are discussed."
2003-0009,"A cross-cultural comparison of the relationship between ICA, ICMS and assertiveness/cooperativeness tendencies",Paper,"A cross-cultural comparison of the relationship between ICA, ICMS and assertiveness/cooperativeness tendencies","This study compared the differences and similarities in the relationship of intercultural communication apprehension (ICA) with intercultural conflict management styles (ICMS) and assertiveness/cooperativeness tendencies between U.S. and Korean college students. With Neuliep and McCroskey¡¯s PRICA scale, Wilmot and Hocker¡¯s ICMS scale and Volkema and Bergmann¡¯s assertiveness/cooperativeness dimensions, this study attempted to expand McCroskey and his colleagues¡¯ studies by employing three levels of ICA: Low, medium and high. This study found that there were significant differences across the levels of ICA, ICMS and assertiveness/cooperativeness tendencies between U.S. and Korean college students. The findings of this study suggest that across culture high ICA is a public enemy that we must eliminate; ICA is an important factor in determining how an individual manages intercultural conflicts across culture; reducing ICA may contribute to building more productive intercultural conflict management across culture. However, the findings of this study further implies that besides ICA, there may be some other important factors, influencing ICMS and assertiveness/cooperativeness tendencies, such as shyness, silence, and face."
2003-0010,"""Activism in Paradise"": A Critical Discourse Analysis of a Public Relations Campaign against Genetic Engineering",Paper,"""Activism in Paradise"": A Critical Discourse Analysis of a Public Relations Campaign against Genetic Engineering","This paper explores how a coalition of environmental interest groups implemented an issues-management campaign in New Zealand to influence public policy on genetic engineering, following the report of a Royal Commission on Genetic Modification. In New Zealand, ways of thinking about genetic engineering are strongly contested, and public policy decisions related to genetic engineering will have outcomes of significant economic importance to the country.

A critical discourse analysis of the coalition websites and an interview with one of the organisers highlight the ways in which this campaign depended on the construction of an identity for New Zealanders which motivated significant public activism.

The campaign successfully extended public debate about genetic modification and influenced the Government to extend a moratorium on commercial field trials of genetically modified crops and products. Some interesting paradoxes suggest that one challenge for New Zealand policy on genetic modification may lie in the management of multiple identities."
2003-0011,Adapting and Extending the Technology Acceptance Model in Globally Linked PR Classes,Paper,Adapting and Extending the Technology Acceptance Model in Globally Linked PR Classes,"PR students from Hawaii and Kansas were assigned to use online technologies to communicate with each other as well as cultural consultants in Korea. These geographically dispersed teams were asked to write an issue statement and promotional plan for either organic or genetically modified papaya in Korea. The instructional design was informed by prior research and theory.

The technology acceptance model (TAM) was applied as a diagnostic tool. TAM posits relationships among the following variables: perceptions of the ease of using technology, perceptions of usefulness of technology, intentions to use technology, and actual usage behavior. The model was found to fit particularly well with student attitudes and behaviors related to online Bulletin Board Systems (BBSs) used in the class project.

Aside from testing the proposed model, the major purpose of this research was to see how student intentions to use online technologies in their future careers were affected by the main TAM variables. After completing the project, students' perceptions of the usefulness of BBSs became a significant antecedent of their intentions to use BBSs in their future careers, and perceived ease-of-use became less important in terms of future career intents, apparently as a result of the project."
2003-0012,A Dialectic With the Everyday: Communication & Cultural Politics on Oprah Winfrey's Book Club,Paper,A Dialectic With the Everyday: Communication & Cultural Politics on Oprah Winfrey's Book Club,"This essay explores the cultural politics of television talk show host Oprah Winfreys Book Club, which was a mainstay of The Oprah Winfrey Show from 1996-2002. Because women constitute both the primary Oprah television audience and the largest U.S. book buying public, it focuses specifically upon womens involvement in the Club and their modes of engagement with Club selections. The Book Clubs astonishing success, I argue, was attributable in part to the carefully considered communication strategies through which participants, Winfrey, and Oprah producers collectively articulated the value of books and reading specifically for women. Their deemphasizing purely aesthetic considerations, I contend, enabled women to strategize how to use Book Club selections simultaneously to distance themselves from and to engage more intensively with the demands of living in a patriarchal and otherwise socioeconomically stratified U.S. society  a relationship I call a dialectic with the everyday. This essay thus traces the communicative processes/practices through which those involved in Oprahs Book Club articulated a highly sophisticated economy of cultural value around books and reading. It also considers the politics of their negotiations, given that many critics impugned the Club on the basis of its disinterest in judging books via received aesthetic categories."
2003-0013,Adolescent girls and media culture: Unpacking the politics of pleasure,Paper,Adolescent girls and media culture: Unpacking the politics of pleasure,"Teenage girls are a multi-million dollar market niche for media products, and the circulation of ""teen media"" texts are geared to specific constructions of femininity. The idea of pleasure is a contested concept in studies of girls? reading of so-called teen media. In this paper, ethnographic field observations of teenaged girls? peer group conversations about teen media are used to problematize and socially situate their pleasure in the texts. Pleasure is shown to be a complex term that addresses not only girls? attraction to the ideologies of femininity encoded in the texts, but their resistance to dominant ideologies. The pleasure of resistance is a politically potent force that may open up the possibility of a critical feminist praxis among adolescent girls, if it is recognized as a beginning and not an endpoint."
2003-0014,Ad Repetition and Variation in a Competitive Ad Context,Paper,Ad Repetition and Variation in a Competitive Ad Context,"This study explores ad repetition and variation effects for a new brand in a competitive ad context in which ads for the leading brand in the same category are present. In the presence of competitive interference, ad repetition significantly increases ad recognition. Ad repetition also encourages subjects to take product beliefs into account in making product judgments. In addition, brand attitudes, brand interest ratings and purchase intent are improved with two ad exposures over one ad exposure. The number of product attributes has also been shown to moderate ad repetition effects. Moreover, two ad variation strategies are distinguished, i.e., substantive/cosmetic variation and cosmetic variation. The relative effectiveness of the two variation strategies on ad recognition and ad campaign perception is examined."
