paper id,year,paper type,paper title,author number,abstract,session title,sub unit
2016-0000,2016,Paper Session,"A Conditional Model of Political Discussion: Anger, Informal Political Talk, and the Perceived Opinion Climate",2,"Prior research examining whether anger—one of the most relevant political emotions—can trigger informal political conversations has been inconclusive, with some studies showing a positive influence, others a negative one, and still others finding no association. To address this quandary, we suggest considering the perceived climate of opinion, which has also been found to be an important antecedent of political discussions. We posit that the effects of anger depend on the perceived hostility of the surrounding opinion climate, such that in a friendly opinion climate anger increases willingness to engage in political talk and in a hostile opinion climate anger reduces willingness to engage in political talk. Data from two studies—a survey experiment fielded in Denmark, another conducted during a referendum in Switzerland—were analysed, and the findings were consistent with the hypothesis. The implications of these results, as well as directions for future research are discussed.",Political Discussion and Deliberation: Theoretical and Methodological Issues,Political Communication
2016-0001,2016,Paper Session,Deliberation Across a “Space of Reasons”: A Study About the Use of Media Arguments on Divided Groups,6,"Conversation across group differences has attracted growing attention in deliberation studies. However, studies that explore how people make sense of competing arguments in the media are rare. Building on competing frame studies, this article posits a new analytical framework to investigate how subjects from antagonistic social groups – residents of poor neighborhoods and the local police in Brazil – engage with arguments published by the media to negotiate their opinions on sensitive issues. Drawing on the Discourse Quality Index, our study analyses deliberative aspects of a group’s discussion. The results contribute to advancing an understanding of the dynamics by which subjects situate themselves in a “space of reasons”, including in relation to media-based arguments.",Political Discussion and Deliberation: Theoretical and Methodological Issues,Political Communication
2016-0002,2016,Paper Session,Deliberation and Collective Decisions: Individual Changes in Structuring Single-Peaked Preferences in Deliberative Polls,4,"Majority cycles, a threat to the meaningful democracy, can arise in a collective decision among three or more alternatives. Deliberative polling results have showed that deliberation can protect against majority cycles by bringing preferences closer to single-peakedness, as evidenced by the increased aggregate-level proximity to single-peakedness after deliberation. However, the individual differences and changes in structuring single-peaked preferences has remained an unexplored territory. This paper is the first empirical study attempting to explain the individual-level preference changes that underpin the aggregate phenomenon of deliberation-induced single-peakedness. Analyzing a pooled data consisting of nine Deliberative Polls on thirteen policy issues, we found that (1) deliberation helped move individual preferences closer to single-peakedness, at least for low and moderate salient issues; (2) individuals moved closer to single-peakedness as they gained more knowledge after deliberation; and (3) the effect of knowledge on individual's movement to single-peakedness is conditional on issue salience, but independent of the substantive agreement in the small groups.",Political Discussion and Deliberation: Theoretical and Methodological Issues,Political Communication
2016-0003,2016,Paper Session,Measuring Political Thinking: Development and Validation of a Scale for “Deliberation Within”,1,"Compared to the concept of interpersonal deliberation, little is known about the underlying and preceding cognitive processes of citizens’ deliberative discussions. The aim of this paper is to develop a psychometric measurement for these processes, which—following an idea advanced by Goodin (2000, 2003)—may be called “deliberation within”. The measurement is constructed based on theoretical definitions of the concept and further normative criteria of citizen deliberation. In three empirical studies using independent samples, the psychometric properties of the measurement are assessed, and evidence for its reliability as well as structural and criterion validity is offered. The resulting scale may serve as a useful instrument not only for deliberation research, but also for further communication research that is related to political processes.",Political Discussion and Deliberation: Theoretical and Methodological Issues,Political Communication
2016-0004,2016,Paper Session,"A Long Way to Go: Framing Analysis of Chinese Newspaper Coverage of Organ Donation Shortage and Barriers, 2000-2015",3,"Organ donation shortage remains a pressing public health problem in China. This study is the first effort to analyze how Chinese newspaper coverage (n=647) defined the problem of organ shortage and it relationship with culturally specific barriers from 2000 to 2015. We found that over half of news stories portrayed the low donation rates as an urgent problem. Results suggested significant differences in reporting dominant topics among newspapers based in urban vs. rural regions of China. Findings also indicated that legal barriers, medical distrust, cultural concerns, social norm of family disapproval and communication barriers positively associated with news framing of organ shortage. In examining the relationship in a multivariate logistical regression model, communication barrier, cultural concerns about preserving intact body, considerations of Chinese traditional culture, and lack of laws and regulations emerged as significant predictors to the presence of donation shortage frame. The portrayal of family and friend’s support reduced the likelihood that news stories reported the donation shortage frame. Results are discussed in terms of its usefulness of this research in crafting effective messages for policymakers and practitioners.",The Study of Framing in the Context of Health,Mass Communication
2016-0005,2016,Paper Session,A Matter of Degree: Testing an Alternative Approach to Content Analysis in Media Framing Research,3,"There are theoretical and statistical reasons to believe that the nominal coding procedure typically used in media framing research is inadequate to represent audience perceptions of framing in a given text, and that a ratio measure that operationalizes the degree of framing would provide a more valid representation. This paper presents two studies testing these claims by comparing reliably coded nominal and ratio coding of framing in four texts to independent participant ratings of frame prominence in those texts. The first shows that the ratio level measures explain more than twice as much variance in participant ratings as their nominal counterparts. The second shows that the ratio measures are able to discriminate texts in a cluster analysis, whereas the nominal measures are not. We conclude that ratio level measures should become the default method for coding framing in media texts, unless there are defensible reasons to do otherwise.",The Study of Framing in the Context of Health,Mass Communication
2016-0006,2016,Paper Session,"Framing and Agenda Interaction of the Ebola Virus Disease Under the Globalization Era: A Cross-National Study of News Coverage in China, US, Japan, and UK",2,"This study analyzes news coverage of the Ebola Virus Disease (EVD) in China, U.S, Japan, and UK to examine variations in news attention cycles, framing, and to investigate agenda interactions. A content analysis was conducted on 730 news articles from highly circulated and prestigious newspapers in these four countries during the period of March, 24 to December 31, 2014. The findings revealed that news attention patterns by the four newspapers consistently adhered to the development of EVD monitored by the World Health Organization (WHO); common characteristics shown in reporting types, news frames, sources, and predominant tones used by the four countries’ coverage on portraying the EVD; agenda interactions with different extents were identified among the four newspapers. This study enriches understanding of how journalists with variations in media systems, cultural values, and social ideologies construct a global health risk. Limitations and future directions are also discussed in the ending part.",The Study of Framing in the Context of Health,Mass Communication
2016-0007,2016,Paper Session,The Effects of News Framing and Issue Attribution on Chinese College Students’ Responses to Depression Coverage,4,"Depression is now one of the most severe public health threats in China and among Chinese college students. To examine the role of depression news coverage and address barriers in communicating with Chinese college students about the risk of depression and the importance of providing social support to depressed individuals, a 2 (episodic vs. thematic framing) x 2 (individual vs. societal attribution) between-subjects experiment was conducted among 187 students in a large research university in China. The findings provide insights that can inform future depression news coverage in Chinese media: 1) Episodic framing in depression coverage triggered more sympathetic feelings toward depressed individuals; 2) Individual attribution in depression coverage led to higher self-efficacy in detecting people’s depression symptoms; and 3) Female participants felt more sympathy toward depressed individuals depicted in the new story regardless the framing or attribution. The findings shed light on the important role news framing and attribution play in influencing Chinese college students’ perception, attitude, and supportive behavior regarding depressed individuals in Chinese society. Implications for health reporters and health communication professionals in China are discussed.",The Study of Framing in the Context of Health,Mass Communication
2016-0008,2016,Paper Session,Communicating Complex Information About Cancer Research: An Experimental Comparison of Metaphorical and Low-Literacy Messages,2,"Effectively communicating complex information is a key challenge in the field of health communication. The role of randomization in cancer clinical trials is one such example because patients must understand their illness as well as the role of experimental design in order to provide informed consent to participate. The current study reports on the findings from a nationally representative study comparing the effectiveness of different message strategies for explaining randomization (N = 533). Results of a hierarchical regression analyses demonstrate surprising problems associated with the use of plain language strategies for explaining randomization to cancer patients, while the effects of metaphorical message strategies on comprehension, negative affect, and behavioral intentions to participate in RCTs were mixed. Implications for communication theory and practice are discussed.",Innovations in Cancer Communication Research,Health Communication
2016-0009,2016,Paper Session,It Just Makes Me Feel Better: The Creation and Validation of the Mood-Based Indoor Tanning Scale (MITS),7,"Recent research indicates that mood-based motivations may be an important predictor of indoor tanning bed use, and may be related to indoor tanning addiction. Problematically, little measurement research has been conducted to develop a psychometric measure of mood-based tanning motivations. Thus, the current study seeks to develop and assess the mood-based indoor tanning scale (MITS). Two studies were conducted to identify and verify the MITS factor structure as well as assess construct validity. Results revealed that the MITS is a powerful predictor of indoor tanning intentions and behavior, results from the national sample suggest that a one-point increase in the MITS measure corresponds with using indoor tanning beds eleven more times in the past year. These findings suggest that the MITS can be used by behavioral researchers and practitioners to assess the extent to which mood-based motivations impact indoor tanning bed use.",Innovations in Cancer Communication Research,Health Communication
