paper id,paper title,year,author number,author position,author name,author aff
2014-0000,Exploring Japanese Media’s Health Coverage in Response to the 2011 Triple Catastrophe,2014,3,1,Holley A. Wilkin,Georgia State U
2014-0000,Exploring Japanese Media’s Health Coverage in Response to the 2011 Triple Catastrophe,2014,3,2,Michael Adam Tannebaum,Georgia State U
2014-0000,Exploring Japanese Media’s Health Coverage in Response to the 2011 Triple Catastrophe,2014,3,3,Joo-Young J. Jung,International Christian University
2014-0001,"National Conversations About Systemic Illness in U.S. Health Care: Influences on Media Coverage of Rising Health Care Costs, 1993-2010",2014,4,1,Caroline Belser Foster,College of Charleston
2014-0001,"National Conversations About Systemic Illness in U.S. Health Care: Influences on Media Coverage of Rising Health Care Costs, 1993-2010",2014,4,2,Andrea Tanner,U of South Carolina
2014-0001,"National Conversations About Systemic Illness in U.S. Health Care: Influences on Media Coverage of Rising Health Care Costs, 1993-2010",2014,4,3,Sei-Hill Kim,U of South Carolina
2014-0001,"National Conversations About Systemic Illness in U.S. Health Care: Influences on Media Coverage of Rising Health Care Costs, 1993-2010",2014,4,4,Soo Yun Kim,University of Wisconsin-Madison
2014-0002,The Impact of Imagery Ability on Perceived Image Vividness: The Case of HPV Vaccine Advertising,2014,2,1,Fan YANG,Hong Kong Baptist Univerisity
2014-0002,The Impact of Imagery Ability on Perceived Image Vividness: The Case of HPV Vaccine Advertising,2014,2,2,Steve GUO,"Hong Kong Baptist University, Journalism Department"
2014-0003,The Role of Media Coverage in Cities With/Without Smoke-Free Ordinances: A 7-Year Content Analysis,2014,2,1,Shelly L. Rodgers,U of Missouri
2014-0003,The Role of Media Coverage in Cities With/Without Smoke-Free Ordinances: A 7-Year Content Analysis,2014,2,2,Zongyuan Wang,University of Missouri at Columbia
2014-0004,Change Your Ways: Fostering Health Attitudes Toward Change Through Selective Exposure to Online Health Messages,2014,3,1,Axel Westerwick,Ohio State U
2014-0004,Change Your Ways: Fostering Health Attitudes Toward Change Through Selective Exposure to Online Health Messages,2014,3,2,Benjamin K. Johnson,VU U
2014-0004,Change Your Ways: Fostering Health Attitudes Toward Change Through Selective Exposure to Online Health Messages,2014,3,3,Silvia Knobloch-Westerwick,Ohio State U
2014-0005,Exploring How Personal Health Beliefs and Social Risks Contribute to College Students’ Use and Perceptions of Online Mental Health Resources,2014,2,1,Christopher Joseph McKinley,Montclair State University
2014-0005,Exploring How Personal Health Beliefs and Social Risks Contribute to College Students’ Use and Perceptions of Online Mental Health Resources,2014,2,2,Erin Ruppel,U of Wisconsin - Milwaukee
2014-0006,Testing a Social Cognitive Theory-Based Model of Indoor Tanning: Implications for Health Communication,2014,5,1,Seth M. Noar,U of North Carolina
2014-0006,Testing a Social Cognitive Theory-Based Model of Indoor Tanning: Implications for Health Communication,2014,5,2,Jessica Gall Myrick,Indiana University
2014-0006,Testing a Social Cognitive Theory-Based Model of Indoor Tanning: Implications for Health Communication,2014,5,3,Alexandra Zeitany,U of North Carolina
2014-0006,Testing a Social Cognitive Theory-Based Model of Indoor Tanning: Implications for Health Communication,2014,5,4,Dannielle Kelley,U of North Carolina
2014-0006,Testing a Social Cognitive Theory-Based Model of Indoor Tanning: Implications for Health Communication,2014,5,5,Brenda Morales-Pico,U of North Carolina
2014-0007,Distributed Cognition in Cancer Treatment Decision-Making: An Application of the DECIDE Family Decision-Making Styles Typology,2014,5,1,Janice Krieger,U of Florida
2014-0007,Distributed Cognition in Cancer Treatment Decision-Making: An Application of the DECIDE Family Decision-Making Styles Typology,2014,5,2,Angela Lynn Palmer-Wackerly,Ohio State U
2014-0007,Distributed Cognition in Cancer Treatment Decision-Making: An Application of the DECIDE Family Decision-Making Styles Typology,2014,5,3,Phokeng M Dailey,Ohio State University
2014-0007,Distributed Cognition in Cancer Treatment Decision-Making: An Application of the DECIDE Family Decision-Making Styles Typology,2014,5,4,Jessica Krok,Ohio State U
2014-0007,Distributed Cognition in Cancer Treatment Decision-Making: An Application of the DECIDE Family Decision-Making Styles Typology,2014,5,5,Julianne Wojno,Ohio State U
2014-0008,J-Tweeters: Pointing Towards a New Set of Professional Practices and Norms in Journalism,2014,1,1,Ulrika Hedman,"Dept. of Journalism, Media and Communication, University of Gothenburg"
2014-0009,The Twitterization of News Making: Transparency and Journalistic Professionalism,2014,1,1,Matthias Revers,University of Graz
2014-0010,Journalism Endures: Has Twitter Changed the News Product?,2014,1,1,Shin Haeng Lee,U of Washington
2014-0011,I Know You on Twitter: How Journalists’ Self-Disclosures Influence Sharing on Social Media,2014,1,1,Jan Boehmer,Michigan State University
2014-0012,"Shares, Pins, and Tweets: News Readership From Daily Papers to Social Media",2014,1,1,Marco Toledo Bastos,Duke University
2014-0013,The Opportunity Structures and Cultural Schemas of Online Collective Action: The Case of China,2014,2,1,Guobin Yang,University of Pennsylvania
2014-0013,The Opportunity Structures and Cultural Schemas of Online Collective Action: The Case of China,2014,2,2,Wei Wang,U of Southern California - Annenberg School for Communication
2014-0014,Between Corporate Development and Public Service: The Cultural System Reform in the Chinese Media Sector,2014,1,1,Yu Hong,U of Southern California
2014-0015,Mediation of Global Logic: The Case of Transnational Environmentalism in China,2014,1,1,Stephen D. Reese,U of Texas - Austin
2014-0016,Virtual Mobilities and Sociopolitical Becoming of Forced Migrants,2014,1,1,Saskia Witteborn,Chinese U of Hong Kong
2014-0017,The Transnationalization of Chinese ICT Corporations: A Case Study of Huawei,2014,1,1,Yun Wen,Simon Fraser University
2014-0018,What’s Science? Where’s Science? Science Journalism in Print Media,2014,2,1,Annika Summ,U of Münster
2014-0018,What’s Science? Where’s Science? Science Journalism in Print Media,2014,2,2,Anna-Maria Volpers,U of Muenster
2014-0019,Between Consensus and Denial: Climate Journalists as Interpretive Community,2014,2,1,Michael Brueggemann,U of Zurich
