paper id,year,paper type,paper title,author number,abstract,session title,sub unit
2016-0000,2016,Paper Session,Viewer Responses to YouTube Product Reviews: The Role of Sponsorship Disclosure and Viewers’ Expectancy,3,"This study examined whether sponsorship disclosure in YouTube product reviews or the interaction between disclosure and viewers’ expectancy of YouTube affects attitudes towards the advertised product, the reviewer, and YouTube. A sample of 192 undergraduate students was recruited at a large Midwestern university and exposed to an online survey experiment. It was found that sponsorship disclosure or its interaction with expectancy did not have a significant effect on the aforementioned attitudes. The study did determine, however, that, consistent with Expectancy Violations Theory (EVT), expectancy of YouTube exhibited a positive relationship with attitudes towards the advertised product. It also suggested a similar relationship between expectancy and YouTube vloggers. This study represents a contribution to the eWOM literature in the domain of social media advertising and an expansion of EVT to a social media advertising context. It also provides insights into viewer responses to sponsored YouTube product reviews for various stakeholders.",Important Media and Message Features,Information Systems
2016-0001,2016,Paper Session,Differences in Processing of Interactive Infographics on Different Screen Sizes and Interface Types,3,"The aim of this study is to expand the body of research on touchscreen devices and work to understand what is occurring on a cognitive level when users are viewing and manipulating material on a touchscreen computer, and whether the tactile aspect of interacting with media through a device via touch improves learning and promotes more favorable impressions of that media. We further build on this line of research by employing psychophysiological measures (i.e., cardiac activity and physiological arousal) to explore the processes that unfold while interacting with infographics on different screen sizes.",Important Media and Message Features,Information Systems
2016-0002,2016,Paper Session,Busy Pedestrians: How Media Content Complexity and Sensory Modalities Influence Street-Crossing Performance in Virtual Environment,2,"People are increasingly occupied with mobile devices, even when they are walking across the street. Questions have arisen regarding the information processing deficits that might occur when people are walking while using mobile devices. The purpose of this study is to explore how sensory modalities (e.g auditory/visual) and message complexity (simple/complex) and complexity of distractions affect cognitive resource allocation and performance during a street crossing task. An experiment is designed in which participants complete a virtual street-crossing task while consuming media content of differing modality and complexity. We measure both success rate in street crossing and memory tests (recognition tests and free recall) to examine effects on attention allocation, encoding, and retrieval, respectively. We are currently preparing data collection for this project.",Important Media and Message Features,Information Systems
2016-0003,2016,Paper Session,Effects of Musical Complexity and Intensity on Listener Emotion,2,"Music is a powerful and prevalent mode of communication. Research continues to find that at least some of that power and prevalence comes from the relationship listeners find between music and emotion (Lonsdale & North, 2011; Rentfrow, 2012). Music consumption constitutes an event that carries with it a wide range of possible emotional reactions. However, the relationship between emotional content in music and the listener is a complicated one. Guided by Lang's (2006) LC4MP, this study explores the effect of musical qualities of Intensity and Complexity on listeners' self-reported and physiological emotional reactions. An experiment measuring facial electromyography (EMG) in the corrugator (frown) and orbicularis oculi (smile) muscles, as well as self-reported affect and enjoyment determined that intensity and complexity are distinct qualities of music as judged by the listener, and that each plays a specific role in the listener's emotional experience.",Important Media and Message Features,Information Systems
2016-0004,2016,Paper Session,The Continuance of Orienting to Auditory Structural Features Presented in Natural Listening Conditions,4,This abstract presents original research testing the hypothesis that automatic allocation of cognitive resources will not habituate following repeated presentation of auditory structural features when they are played as a part of a simulated radio broadcast delivered in a natural listening condition. Heart rate data confirms the hypothesis and implications will be presented.,Important Media and Message Features,Information Systems
2016-0005,2016,Paper Session,"Information Introduced in Anime: Information Processing, Physiological Response, and Enjoyment in Entertainment Media",1,"This paper reports the data from an ongoing study that applies Information Introduced (ii), a measure of information in a video message introduced by Lang and her colleagues (Lang, Park, Sanders-Jackson, Wilson, & Wang, 2006), to entertainment television shows and its viewers. Specifically, participants watched a number of minute-long television anime show's opening theme.
Preliminary data collected from subjects to date (n=45) shows that as information embedded (value of ii) increases, subjects’ attention level also increases, but recognition memory performance drops, which suggests cognitive overload took place. However, increase in information also leads to enjoyment, which is consistent with findings from another study presented at ICA 2015 and submitted to ICA 2016 for possible presentation. Furthermore, increase in information also led to individual’s viewing intent for the whole series, suggesting that causing cognitive overload may be a useful technic to increase/sustain viewership of television shows.
Target subject size is fifty or more (N > 50). Besides physiological responses during video viewing session, self-report that includes viewing intent and recognition memory test are collected. The extended abstract will include data collected to date (n = 45).",Important Media and Message Features,Information Systems
2016-0006,2016,Paper Session,The Impact of Multiple Web Ads on Attention: An Eye Tracking Study,1,"Current research on Internet advertising focus more on only one advertisement on the webpage and ignore relatively complex information, such as multiple ads on the webpage. This study applies the unique feature hypothesis to examine attentional processing in the face of two ads. An eye tracking experiment finds that the both animated condition does not receive the most attention, in accordance with the prediction of the unique feature hypothesis. In addition, the results reveal that compared with the no ads or both static conditions, the both animated condition still receives more attention.",Important Media and Message Features,Information Systems
2016-0007,2016,Paper Session,"Text, Image, or Text and Image?",2,"Newspaper journalists make increasingly use of photographs which have been proven to influence judgement formation. Studies show mixed results concerning the question whether images or texts have stronger effects on the evaluation of persons. When these two units give inconsistent information (divergence of image and text) the question of interactions arises. In an online-experiment (N=466) we manipulated the textual information (positive/negative) and the visual display of a politician (high/low self-assurance) in an online news article. There is a main effect of the text for all dimensions of evaluation but not for the image. Under the condition of short stimuli reception, the visual display of self-assurance in combination with positive textual information increases the perception of competence and self-assurance of the politician. Assumed effects of a divergence of image and text do not appear: positive visual displays in combination with negative textual information do not lead to a particularly negative evaluation.",Important Media and Message Features,Information Systems
2016-0008,2016,Paper Session,Cancer Screening Message Framing in the Social Media Environment: A Closer Look at the Role of Fear,2,"This study examined how gain-versus-loss message framing, perceived susceptibility, and virality metrics associated with social media platforms jointly influence message-induced fear and intention to perform a colonoscopy in the context of colorectal cancer screening promotion. The results showed that loss framing, coupled with high-virality metrics, resulted in greater fear particularly for individuals with relatively low perceived susceptibility to colorectal cancer. However, for individuals with relatively high perceived susceptibility, loss framing resulted in greater fear when the messages were presented with low-virality metrics. Furthermore, for those with relatively low perceived susceptibility, loss framing, when coupled with high-virality metrics, indirectly increased behavioral intention through fear. By contrast, for those with very high perceived susceptibility, the positive indirect effect of loss framing through fear was significant only when the messages were presented with low-virality metrics. Theoretical and practical implications of these findings are discussed.",The Role of Emotion in Information Processing,Information Systems
2016-0009,2016,Paper Session,Putting the Fear Back Again: A Within-Individuals Perspective to the Role of Fear in Persuasion,1,"Empirical evidence has been absent for the fear-related propositions of the extended parallel process model (EPPM). However the studies that tested the model, and the primary studies summarized in meta-analyses all came from a between-individuals approach. A recent review suggested that a within-individuals approach might be more appropriate to investigate the role of fear in persuasion. A web-based experiment (N = 454) using tobacco warning labels was conducted to test the fear-related EPPM propositions from both between- and within-individuals perspectives, and to revisit the role of fear in persuasion. Results showed that the EPPM was not supported in the between-subjects approach, but received much stronger support from the within-individuals perspective, and that fear should play a central role in persuasion.",The Role of Emotion in Information Processing,Information Systems
