session type,session title,sub unit,chair name,chair aff
Paper Session,Preconference: Computational Approaches to Advance Communication Research Poster Session,Sponsored Sessions,,
Paper Session,Corporate Social Responsibility and Sustainability,Organizational Communication,,
Paper Session,The New Organizational Landscape of Journalism,Journalism Studies,,
Paper Session,Entertainment Media and Politics,Mass Communication,,
Paper Session,Clarifying and Advancing Theory in Mass Communication Research (TOP PAPER ENTRY),Mass Communication,,
Paper Session,Online Harassment and Victimization,Children Adolescents and the Media,,
Paper Session,Environmental Discourses: Rhetoric and Consequences,Environmental Communication,,
Paper Session,Dating Processes Using Social Media,Communication and Technology,,
Paper Session,"Dialogue, Communication, and Social Media",Public Relations,,
Paper Session,Examining Mediated Sport: Top Papers in the Sports Interest Group,Sports Communication,,
Paper Session,"The Visual in Politics: Rhetorics, Frames, Effects",Visual Communication Studies,,
Paper Session,Gaming & Computer Tailored Interventions for Health,Health Communication,,
Paper Session,Digital Dividing? Managing and Measuring Student Media Multitasking,Instructional & Developmental Communication,,
Paper Session,Online Social Support and Health,Health Communication,,
Paper Session,Focusing Theories on Communication Technology #1,Communication and Technology,,
Paper Session,Facebook as a Social Comparison Neighborhood,Communication and Technology,,
Paper Session,"Relationship, Engagement, and PR Professional Development",Public Relations,,
Paper Session,Entertainment Media and Health Communication,Health Communication,,
Paper Session,Coordination/Collaboration in and Across Organizations,Organizational Communication,,
Paper Session,Advances in Third Person Effect Research (TOP PAPER ENTRY),Mass Communication,,
Paper Session,Methodological Concerns in Mass Communication Research (TOP PAPER ENTRY),Mass Communication,,
Paper Session,"From Hook Up to Pregnancy: Sex, Sexuality, and Media",Children Adolescents and the Media,,
Paper Session,Building Brands: Deconstructing Media Institutions' Constructions and Omissions,Popular Communication,,
Paper Session,Women and Girls Respond to Media: Using and Interpreting Media Texts and Spaces,Feminist Scholarship,,
Paper Session,Managing Interaction in Medical Encounters and Troubles Talk,Language & Social Interaction,,
Paper Session,Promising Student Work in Information Systems,Information Systems,,
Paper Session,"Voice and Experience in Mediated Civil Society: Conditions, Limitations, and Metaphors","Philosophy, Theory and Critique",,
Paper Session,Emerging Methods and Measures in Game Studies,Game Studies,,
Paper Session,"Inventing Communities, Spheres, and Publics",Communication History,,
